Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/07/2018 01:00:00,05/07/2018 06:00:00,TMP204_21785,FG,21785,BINDING,-12.0540,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 01:00:00,05/07/2018 06:00:00,VINHAYPOSKNO,FG,5562,BINDING,-80.0972,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 01:00:00,05/07/2018 06:00:00,WATXFRWATXFR,FG,5579,BINDING,-10.7657,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 01:00:00,05/07/2018 06:00:00,GRNBUR1,MA,,BINDING,1.5627,XFMR GRNBUR1 - GRNBUR1,BASE
05/07/2018 01:00:00,05/07/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.5342,LN TEXAS_CO - ,BASE
05/07/2018 02:00:00,05/07/2018 07:00:00,TMP204_21785,FG,21785,BINDING,-7.9422,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 02:00:00,05/07/2018 07:00:00,VINHAYPOSKNO,FG,5562,BINDING,-40.6490,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 02:00:00,05/07/2018 07:00:00,WATXFRWATXFR,FG,5579,BINDING,-10.2858,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 02:00:00,05/07/2018 07:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.7954,LN TEXAS_CO - ,BASE
05/07/2018 03:00:00,05/07/2018 08:00:00,TMP204_21785,FG,21785,BINDING,-4.8009,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 03:00:00,05/07/2018 08:00:00,VINHAYPOSKNO,FG,5562,BINDING,-36.4960,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 03:00:00,05/07/2018 08:00:00,WATXFRWATXFR,FG,5579,BINDING,-9.8373,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 03:00:00,05/07/2018 08:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.6927,LN TEXAS_CO - ,BASE
05/07/2018 04:00:00,05/07/2018 09:00:00,TMP204_21785,FG,21785,BINDING,-11.0861,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 04:00:00,05/07/2018 09:00:00,VINHAYPOSKNO,FG,5562,BINDING,-56.5323,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 04:00:00,05/07/2018 09:00:00,WATXFRWATXFR,FG,5579,BINDING,-9.0518,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 04:00:00,05/07/2018 09:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.1066,LN TEXAS_CO - ,BASE
05/07/2018 05:00:00,05/07/2018 10:00:00,TMP204_21785,FG,21785,BINDING,-11.8736,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 05:00:00,05/07/2018 10:00:00,VINHAYPOSKNO,FG,5562,BINDING,-63.7852,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 05:00:00,05/07/2018 10:00:00,WATXFRWATXFR,FG,5579,BINDING,-8.6276,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 05:00:00,05/07/2018 10:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.2427,LN TEXAS_CO - ,BASE
05/07/2018 06:00:00,05/07/2018 11:00:00,TMP204_21785,FG,21785,BINDING,-10.3560,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 06:00:00,05/07/2018 11:00:00,VINHAYPOSKNO,FG,5562,BINDING,-39.2045,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 06:00:00,05/07/2018 11:00:00,WATXFRWATXFR,FG,5579,BINDING,-13.0635,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 06:00:00,05/07/2018 11:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.7920,LN TEXAS_CO - ,BASE
05/07/2018 07:00:00,05/07/2018 12:00:00,VINHAYPOSKNO,FG,5562,BINDING,-66.3008,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 07:00:00,05/07/2018 12:00:00,WATXFRWATXFR,FG,5579,BINDING,-10.5303,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 07:00:00,05/07/2018 12:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.1781,LN TEXAS_CO - ,BASE
05/07/2018 08:00:00,05/07/2018 13:00:00,VINHAYPOSKNO,FG,5562,BINDING,-24.4102,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 08:00:00,05/07/2018 13:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.4333,LN TEXAS_CO - ,BASE
05/07/2018 09:00:00,05/07/2018 14:00:00,VINHAYKNOXFR,FG,5406,BINDING,-12.6547,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/07/2018 09:00:00,05/07/2018 14:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,4.3735,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 09:00:00,05/07/2018 14:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,17.4949,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 09:00:00,05/07/2018 14:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.2381,LN TEXAS_CO - ,BASE
05/07/2018 10:00:00,05/07/2018 15:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,4.2503,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 10:00:00,05/07/2018 15:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,16.7769,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 10:00:00,05/07/2018 15:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-20.7390,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 10:00:00,05/07/2018 15:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.0020,LN TEXAS_CO - ,BASE
05/07/2018 11:00:00,05/07/2018 16:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,5.0710,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 11:00:00,05/07/2018 16:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,17.1561,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 11:00:00,05/07/2018 16:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-21.6561,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 11:00:00,05/07/2018 16:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.0013,LN TEXAS_CO - ,BASE
05/07/2018 12:00:00,05/07/2018 17:00:00,TMP109_22593,FG,22593,BINDING,-10.0794,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/07/2018 12:00:00,05/07/2018 17:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,6.4883,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 12:00:00,05/07/2018 17:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,18.8378,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 12:00:00,05/07/2018 17:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-21.9085,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 12:00:00,05/07/2018 17:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.1132,LN TEXAS_CO - ,BASE
05/07/2018 13:00:00,05/07/2018 18:00:00,TEMP81_22480,FG,22480,BINDING,-41.7897,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 13:00:00,05/07/2018 18:00:00,TMP109_22593,FG,22593,BINDING,-40.6555,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/07/2018 13:00:00,05/07/2018 18:00:00,VINHAYKNOXFR,FG,5406,BINDING,-4.9770,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/07/2018 13:00:00,05/07/2018 18:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,12.8218,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 13:00:00,05/07/2018 18:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,18.0652,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 13:00:00,05/07/2018 18:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-23.1737,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 13:00:00,05/07/2018 18:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.3522,LN TEXAS_CO - ,BASE
05/07/2018 14:00:00,05/07/2018 19:00:00,TEMP81_22480,FG,22480,BINDING,-44.5538,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 14:00:00,05/07/2018 19:00:00,TMP109_22593,FG,22593,BINDING,-128.3406,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/07/2018 14:00:00,05/07/2018 19:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,18.7416,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 14:00:00,05/07/2018 19:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,16.4425,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 14:00:00,05/07/2018 19:00:00,MURRA_UN4,MA,,BINDING,-1.3714,XFMR MURRA - MURRA,BASE
05/07/2018 14:00:00,05/07/2018 19:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-17.9009,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 14:00:00,05/07/2018 19:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-1.2421,LN TEXAS_CO - ,BASE
05/07/2018 15:00:00,05/07/2018 20:00:00,TEMP81_22480,FG,22480,BINDING,-67.6681,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 15:00:00,05/07/2018 20:00:00,TMP109_22593,FG,22593,BINDING,-191.6760,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/07/2018 15:00:00,05/07/2018 20:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,24.2920,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 15:00:00,05/07/2018 20:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,16.7979,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 15:00:00,05/07/2018 20:00:00,MURRA_UN4,MA,,BINDING,-4.6921,XFMR MURRA - MURRA,BASE
05/07/2018 15:00:00,05/07/2018 20:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-27.6139,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 15:00:00,05/07/2018 20:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-1.8504,LN TEXAS_CO - ,BASE
05/07/2018 16:00:00,05/07/2018 21:00:00,PITVALSUNHUG,FG,5661,BINDING,-31.7856,LN PITTSB9 - VALLIANT,LN SUNNYSDE - HUGOPP4 345 WFEC
05/07/2018 16:00:00,05/07/2018 21:00:00,TAHH59MUSFTS,FG,5223,BINDING,-15.6333,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/07/2018 16:00:00,05/07/2018 21:00:00,TEMP81_22480,FG,22480,BINDING,-93.8207,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 16:00:00,05/07/2018 21:00:00,TMP109_22593,FG,22593,BINDING,-109.7034,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/07/2018 16:00:00,05/07/2018 21:00:00,2079A_LN@OWASSO<CON1098>,MA,,BINDING,18.1212,LN OWASSO - NE_GAS,LN OOLOGAH - NE_GAS 138 CSWS
05/07/2018 16:00:00,05/07/2018 21:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,17.8122,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 16:00:00,05/07/2018 21:00:00,MURRA_UN4,MA,,BINDING,-7.9644,XFMR MURRA - MURRA,BASE
05/07/2018 16:00:00,05/07/2018 21:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-26.1359,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 16:00:00,05/07/2018 21:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-2.0659,LN TEXAS_CO - ,BASE
05/07/2018 17:00:00,05/07/2018 22:00:00,PITVALSUNHUG,FG,5661,BINDING,-52.5921,LN PITTSB9 - VALLIANT,LN SUNNYSDE - HUGOPP4 345 WFEC
05/07/2018 17:00:00,05/07/2018 22:00:00,TAHH59MUSFTS,FG,5223,BINDING,-10.4459,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/07/2018 17:00:00,05/07/2018 22:00:00,TEMP81_22480,FG,22480,BINDING,-75.5570,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 17:00:00,05/07/2018 22:00:00,TMP250_23543,FG,23543,BINDING,-8.5264,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/07/2018 17:00:00,05/07/2018 22:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,19.9116,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 17:00:00,05/07/2018 22:00:00,MURRA_UN4,MA,,BINDING,-9.2731,XFMR MURRA - MURRA,BASE
05/07/2018 17:00:00,05/07/2018 22:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-13.1762,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 17:00:00,05/07/2018 22:00:00,STORLA_V1A1_KV1A1_XF,MCE,,BINDING,-127.9381,XFMR STORLA - STORLA,BASE
05/07/2018 17:00:00,05/07/2018 22:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-1.6426,LN TEXAS_CO - ,BASE
05/07/2018 18:00:00,05/07/2018 23:00:00,PITVALSUNHUG,FG,5661,BINDING,-31.7036,LN PITTSB9 - VALLIANT,LN SUNNYSDE - HUGOPP4 345 WFEC
05/07/2018 18:00:00,05/07/2018 23:00:00,TAHH59MUSFTS,FG,5223,BINDING,-41.3282,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/07/2018 18:00:00,05/07/2018 23:00:00,TEMP81_22480,FG,22480,BINDING,-90.6976,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 18:00:00,05/07/2018 23:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,21.9073,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 18:00:00,05/07/2018 23:00:00,MURRA_UN4,MA,,BINDING,-7.7771,XFMR MURRA - MURRA,BASE
05/07/2018 18:00:00,05/07/2018 23:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-12.0628,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 18:00:00,05/07/2018 23:00:00,STORLA_V1A1_KV1A1_XF,MCE,,BINDING,-119.5988,XFMR STORLA - STORLA,BASE
05/07/2018 18:00:00,05/07/2018 23:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.8834,LN TEXAS_CO - ,BASE
05/07/2018 19:00:00,05/08/2018 00:00:00,PITVALSUNHUG,FG,5661,BINDING,-19.8110,LN PITTSB9 - VALLIANT,LN SUNNYSDE - HUGOPP4 345 WFEC
05/07/2018 19:00:00,05/08/2018 00:00:00,TEMP81_22480,FG,22480,BINDING,-102.5549,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 19:00:00,05/08/2018 00:00:00,TMP250_23543,FG,23543,BINDING,-64.6469,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/07/2018 19:00:00,05/08/2018 00:00:00,VINHAYKNOXFR,FG,5406,BINDING,-5.2449,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/07/2018 19:00:00,05/08/2018 00:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,22.1981,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 19:00:00,05/08/2018 00:00:00,LOVING_NRTHINTA_LN@LOVINGTO<CON3517>,MA,,BINDING,-5.8650,LN LOVINGTO - NRTH_INT,LN DENVER_C - SHELL_C2 115 SPS
05/07/2018 19:00:00,05/08/2018 00:00:00,MURRA_UN4,MA,,BINDING,-1.9655,XFMR MURRA - MURRA,BASE
05/07/2018 19:00:00,05/08/2018 00:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-12.7630,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 19:00:00,05/08/2018 00:00:00,STORLA_V1A1_KV1A1_XF,MCE,,BINDING,-100.1195,XFMR STORLA - STORLA,BASE
05/07/2018 19:00:00,05/08/2018 00:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.5439,LN TEXAS_CO - ,BASE
05/07/2018 20:00:00,05/08/2018 01:00:00,PITVALSUNHUG,FG,5661,BINDING,-1.1999,LN PITTSB9 - VALLIANT,LN SUNNYSDE - HUGOPP4 345 WFEC
05/07/2018 20:00:00,05/08/2018 01:00:00,TAHH59MUSFTS,FG,5223,BINDING,-28.1595,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/07/2018 20:00:00,05/08/2018 01:00:00,TEMP81_22480,FG,22480,BINDING,-107.8027,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 20:00:00,05/08/2018 01:00:00,TMP250_23543,FG,23543,BINDING,-106.7363,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/07/2018 20:00:00,05/08/2018 01:00:00,VINHAYPOSKNO,FG,5562,BINDING,-13.5546,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 20:00:00,05/08/2018 01:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,22.5588,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 20:00:00,05/08/2018 01:00:00,CARLIDOUD11_11_LN@DOUD<CON199>,MA,,BINDING,62.3580,LN DOUD - CARLISLE,LN WOLFFORT - CARLISLE 230 SPS
05/07/2018 20:00:00,05/08/2018 01:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-13.2690,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 20:00:00,05/08/2018 01:00:00,STORLA_V1A1_KV1A1_XF,MCE,,BINDING,-86.6869,XFMR STORLA - STORLA,BASE
05/07/2018 20:00:00,05/08/2018 01:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,2.2193,LN TEXAS_CO - ,BASE
05/07/2018 21:00:00,05/08/2018 02:00:00,TAHH59MUSFTS,FG,5223,BINDING,-39.9364,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/07/2018 21:00:00,05/08/2018 02:00:00,TEMP60_22466,FG,22466,BINDING,-95.2131,LN TUCO - STANTON,LN TUCO - CARLISLE 230 SPS
05/07/2018 21:00:00,05/08/2018 02:00:00,TEMP81_22480,FG,22480,BINDING,-103.9885,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 21:00:00,05/08/2018 02:00:00,TMP250_23543,FG,23543,BINDING,-194.8694,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/07/2018 21:00:00,05/08/2018 02:00:00,VINHAYPOSKNO,FG,5562,BINDING,-33.5340,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 21:00:00,05/08/2018 02:00:00,WATXFRWATXFR,FG,5579,BINDING,-9.4510,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 21:00:00,05/08/2018 02:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,22.4987,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
05/07/2018 21:00:00,05/08/2018 02:00:00,CARLIDOUD11_11_LN@DOUD<CON199>,MA,,BINDING,43.6083,LN DOUD - CARLISLE,LN WOLFFORT - CARLISLE 230 SPS
05/07/2018 21:00:00,05/08/2018 02:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-13.3117,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/07/2018 21:00:00,05/08/2018 02:00:00,STORLA_V1A1_KV1A1_XF,MCE,,BINDING,-79.7385,XFMR STORLA - STORLA,BASE
05/07/2018 21:00:00,05/08/2018 02:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,3.5074,LN TEXAS_CO - ,BASE
05/07/2018 22:00:00,05/08/2018 03:00:00,TAHH59MUSFTS,FG,5223,BINDING,-79.9055,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/07/2018 22:00:00,05/08/2018 03:00:00,TEMP13_21818,FG,21818,BINDING,-16.2010,LN PANTEX_S - HIGHL_TP,LN MARTIN - HUTCH 115 SPS
05/07/2018 22:00:00,05/08/2018 03:00:00,TEMP60_22466,FG,22466,BINDING,-133.3186,LN TUCO - STANTON,LN TUCO - CARLISLE 230 SPS
05/07/2018 22:00:00,05/08/2018 03:00:00,TEMP81_22480,FG,22480,BINDING,-57.3280,XFMR EDWV - EDWV,LN 87TH_ST - CRAIG 345 KCPL
05/07/2018 22:00:00,05/08/2018 03:00:00,TMP204_21785,FG,21785,BINDING,-3.0795,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/07/2018 22:00:00,05/08/2018 03:00:00,TMP250_23543,FG,23543,BINDING,-227.3836,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/07/2018 22:00:00,05/08/2018 03:00:00,VINHAYPOSKNO,FG,5562,BINDING,-25.6997,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/07/2018 22:00:00,05/08/2018 03:00:00,WATXFRWATXFR,FG,5579,BINDING,-7.1104,XFMR WATFORD - WATFORD,XF WATFORD 230/1 WAUE
05/07/2018 22:00:00,05/08/2018 03:00:00,BOTTNTOWNE11_11_LN@BOTTNOSE<CON4538>,MA,,BINDING,22.5308,LN BOTTNOSE - TOWNER,LN RUTHVLWA - MINOT 115 WAUE
