Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/13/2018 01:00:00,05/13/2018 06:00:00,MRTPANHUTMRT,FG,5590,BINDING,-15.1157,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/13/2018 01:00:00,05/13/2018 06:00:00,OSGCANBUSDEA,FG,5371,BINDING,-25.7367,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/13/2018 01:00:00,05/13/2018 06:00:00,TEMP23_22895,FG,22895,BINDING,-6.8276,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/13/2018 01:00:00,05/13/2018 06:00:00,TEMP43_23017,FG,23017,BINDING,-4.0158,LN DRFTSND4 - SANTAFE4,BASE
05/13/2018 01:00:00,05/13/2018 06:00:00,TEMP96_22409,FG,22409,BINDING,-39.0890,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/13/2018 01:00:00,05/13/2018 06:00:00,VINHAYPOSKNO,FG,5562,BINDING,-34.7561,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/13/2018 01:00:00,05/13/2018 06:00:00,CLEARW_MILAN_1A_LN@MILANTP<CON3467>,MA,,BINDING,-91.0489,LN MILANTP - CLEARWT4,LN WICH-THISTLE7 A 345 WR
05/13/2018 01:00:00,05/13/2018 06:00:00,PALO,MA,,BINDING,30.3728,XFMR PALO_DUR - PALO_DUR,BASE
05/13/2018 01:00:00,05/13/2018 06:00:00,SPINSPURXF1,MA,,BINDING,-29.3952,XFMR SPINSPUR - SPINSPUR,BASE
05/13/2018 01:00:00,05/13/2018 06:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-10.9273,LN SLCKHILS - WASHIT1,BASE
05/13/2018 01:00:00,05/13/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.6850,LN TEXAS_CO - ,BASE
05/13/2018 02:00:00,05/13/2018 07:00:00,MRTPANHUTMRT,FG,5590,BINDING,-12.2190,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/13/2018 02:00:00,05/13/2018 07:00:00,OSGCANBUSDEA,FG,5371,BINDING,-17.0199,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/13/2018 02:00:00,05/13/2018 07:00:00,TEMP43_23017,FG,23017,BINDING,-7.1386,LN DRFTSND4 - SANTAFE4,BASE
05/13/2018 02:00:00,05/13/2018 07:00:00,TEMP96_22409,FG,22409,BINDING,-10.0443,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/13/2018 02:00:00,05/13/2018 07:00:00,VINHAYPOSKNO,FG,5562,BINDING,-28.1867,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/13/2018 02:00:00,05/13/2018 07:00:00,SPINSPURXF1,MA,,BINDING,-8.9355,XFMR SPINSPUR - SPINSPUR,BASE
05/13/2018 02:00:00,05/13/2018 07:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-9.0343,LN SLCKHILS - WASHIT1,BASE
05/13/2018 02:00:00,05/13/2018 07:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.0687,LN TEXAS_CO - ,BASE
05/13/2018 03:00:00,05/13/2018 08:00:00,MRTPANHUTMRT,FG,5590,BINDING,-12.1091,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/13/2018 03:00:00,05/13/2018 08:00:00,OSGCANBUSDEA,FG,5371,BINDING,-1.6351,LN RANDALL1 - CANYON_E,LN DEAFSMIT - BUSHLAND 230 SPS
05/13/2018 03:00:00,05/13/2018 08:00:00,TEMP43_23017,FG,23017,BINDING,-5.2929,LN DRFTSND4 - SANTAFE4,BASE
05/13/2018 03:00:00,05/13/2018 08:00:00,TEMP96_22409,FG,22409,BINDING,-5.3269,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/13/2018 03:00:00,05/13/2018 08:00:00,VINHAYPOSKNO,FG,5562,BINDING,-50.7410,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/13/2018 03:00:00,05/13/2018 08:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-5.2735,LN SLCKHILS - WASHIT1,BASE
05/13/2018 03:00:00,05/13/2018 08:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.5571,LN TEXAS_CO - ,BASE
05/13/2018 04:00:00,05/13/2018 09:00:00,MRTPANHUTMRT,FG,5590,BINDING,-11.7403,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/13/2018 04:00:00,05/13/2018 09:00:00,TEMP43_23017,FG,23017,BINDING,-4.7823,LN DRFTSND4 - SANTAFE4,BASE
05/13/2018 04:00:00,05/13/2018 09:00:00,VINHAYPOSKNO,FG,5562,BINDING,-44.1486,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/13/2018 04:00:00,05/13/2018 09:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-6.6741,LN SLCKHILS - WASHIT1,BASE
05/13/2018 04:00:00,05/13/2018 09:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.5391,LN TEXAS_CO - ,BASE
05/13/2018 05:00:00,05/13/2018 10:00:00,MRTPANHUTMRT,FG,5590,BINDING,-11.9276,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/13/2018 05:00:00,05/13/2018 10:00:00,TEMP43_23017,FG,23017,BINDING,-4.8995,LN DRFTSND4 - SANTAFE4,BASE
05/13/2018 05:00:00,05/13/2018 10:00:00,VINHAYPOSKNO,FG,5562,BINDING,-41.3922,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/13/2018 05:00:00,05/13/2018 10:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-6.9137,LN SLCKHILS - WASHIT1,BASE
