Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/09/2018 01:00:00,05/09/2018 06:00:00,TEMP89_22229,FG,22229,BINDING,-16.3439,LN GRACMONT - ANADARKO,LN WASHIT1 - SW_STA 138 CSWS
05/09/2018 01:00:00,05/09/2018 06:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-0.0109,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/09/2018 01:00:00,05/09/2018 06:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-10.7646,LN SLCKHILS - WASHIT1,BASE
05/09/2018 01:00:00,05/09/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.1299,LN TEXAS_CO - ,BASE
05/09/2018 02:00:00,05/09/2018 07:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-3.5602,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/09/2018 02:00:00,05/09/2018 07:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-15.4232,LN SLCKHILS - WASHIT1,BASE
05/09/2018 03:00:00,05/09/2018 08:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-3.5595,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/09/2018 03:00:00,05/09/2018 08:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-0.4749,LN SLCKHILS - WASHIT1,BASE
05/09/2018 04:00:00,05/09/2018 09:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-5.9431,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/09/2018 07:00:00,05/09/2018 12:00:00,OAHEEAGLE11_11_LN@OAHE<CON4616>,MA,,BINDING,-0.8388,LN OAHE - EAGLEBT,XF OAHE 230/1 WAUE
05/09/2018 08:00:00,05/09/2018 13:00:00,HARPOTHARPOT,FG,5477,BINDING,-2.7434,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/09/2018 08:00:00,05/09/2018 13:00:00,VINHAYKNOXFR,FG,5406,BINDING,-12.7978,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/09/2018 08:00:00,05/09/2018 13:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0646,LN TEXAS_CO - ,BASE
05/09/2018 09:00:00,05/09/2018 14:00:00,HARPOTHARPOT,FG,5477,BINDING,-8.0205,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/09/2018 09:00:00,05/09/2018 14:00:00,VINHAYKNOXFR,FG,5406,BINDING,-9.0723,LN VINETAP3 - NHAYS,XF KNOLL1 230/115 WR
05/09/2018 09:00:00,05/09/2018 14:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0751,LN TEXAS_CO - ,BASE
05/09/2018 10:00:00,05/09/2018 15:00:00,HARPOTHARPOT,FG,5477,BINDING,-10.0065,LN HARRSUB - POTTER_S,LN HARRSUB - RLNGHILS 230 SPS
05/09/2018 10:00:00,05/09/2018 15:00:00,11_XF@G_GENT1<CON2053>,MA,,BINDING,17.9505,XFMR G_GENT1 - G_GENT1,XF G_GENT1 345/1 NPPD
