Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/14/2018 01:00:00,05/14/2018 06:00:00,MRTPANHUTMRT,FG,5590,BINDING,-10.1156,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/14/2018 01:00:00,05/14/2018 06:00:00,TEMP23_22895,FG,22895,BINDING,-8.6808,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/14/2018 01:00:00,05/14/2018 06:00:00,TEMP89_22229,FG,22229,BINDING,-47.5906,LN GRACMONT - ANADARKO,LN WASHIT1 - SW_STA 138 CSWS
05/14/2018 01:00:00,05/14/2018 06:00:00,TMP109_22593,FG,22593,BINDING,-364.3356,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/14/2018 01:00:00,05/14/2018 06:00:00,TMP250_23543,FG,23543,BINDING,-230.8623,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/14/2018 01:00:00,05/14/2018 06:00:00,VINHAYPOSKNO,FG,5562,BINDING,-27.8144,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/14/2018 01:00:00,05/14/2018 06:00:00,PALO,MA,,BINDING,25.5703,XFMR PALO_DUR - PALO_DUR,BASE
05/14/2018 01:00:00,05/14/2018 06:00:00,SPINSPURXF1,MA,,BINDING,-7.5945,XFMR SPINSPUR - SPINSPUR,BASE
05/14/2018 01:00:00,05/14/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.6578,LN TEXAS_CO - ,BASE
05/14/2018 02:00:00,05/14/2018 07:00:00,MRTPANHUTMRT,FG,5590,BINDING,-8.8217,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/14/2018 02:00:00,05/14/2018 07:00:00,TEMP23_22895,FG,22895,BINDING,-0.1711,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/14/2018 02:00:00,05/14/2018 07:00:00,TEMP89_22229,FG,22229,BINDING,-13.0292,LN GRACMONT - ANADARKO,LN WASHIT1 - SW_STA 138 CSWS
05/14/2018 02:00:00,05/14/2018 07:00:00,TMP109_22593,FG,22593,BINDING,-243.2131,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/14/2018 02:00:00,05/14/2018 07:00:00,TMP250_23543,FG,23543,BINDING,-200.7317,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/14/2018 02:00:00,05/14/2018 07:00:00,VINHAYPOSKNO,FG,5562,BINDING,-25.0901,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/14/2018 02:00:00,05/14/2018 07:00:00,PALO,MA,,BINDING,4.4024,XFMR PALO_DUR - PALO_DUR,BASE
05/14/2018 02:00:00,05/14/2018 07:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.0933,LN TEXAS_CO - ,BASE
05/14/2018 03:00:00,05/14/2018 08:00:00,MRTPANHUTMRT,FG,5590,BINDING,-5.5391,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/14/2018 03:00:00,05/14/2018 08:00:00,TEMP23_22895,FG,22895,BINDING,-15.4882,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/14/2018 03:00:00,05/14/2018 08:00:00,TMP109_22593,FG,22593,BINDING,-346.5874,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/14/2018 03:00:00,05/14/2018 08:00:00,TMP250_23543,FG,23543,BINDING,-175.9170,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/14/2018 03:00:00,05/14/2018 08:00:00,VINHAYPOSKNO,FG,5562,BINDING,-38.9403,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/14/2018 03:00:00,05/14/2018 08:00:00,CLEARW_MILAN_1A_LN@MILANTP<CON3467>,MA,,BINDING,-36.6664,LN MILANTP - CLEARWT4,LN WICH-THISTLE7 A 345 WR
05/14/2018 03:00:00,05/14/2018 08:00:00,PALO,MA,,BINDING,1.5369,XFMR PALO_DUR - PALO_DUR,BASE
05/14/2018 03:00:00,05/14/2018 08:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.0536,LN TEXAS_CO - ,BASE
05/14/2018 04:00:00,05/14/2018 09:00:00,MRTPANHUTMRT,FG,5590,BINDING,-5.5851,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/14/2018 04:00:00,05/14/2018 09:00:00,TEMP23_22895,FG,22895,BINDING,-16.3298,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/14/2018 04:00:00,05/14/2018 09:00:00,TMP109_22593,FG,22593,BINDING,-310.4925,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/14/2018 04:00:00,05/14/2018 09:00:00,TMP250_23543,FG,23543,BINDING,-155.6599,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/14/2018 04:00:00,05/14/2018 09:00:00,VINHAYPOSKNO,FG,5562,BINDING,-23.0181,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/14/2018 04:00:00,05/14/2018 09:00:00,PALO,MA,,BINDING,-1.5793,XFMR PALO_DUR - PALO_DUR,BASE
05/14/2018 04:00:00,05/14/2018 09:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.4730,LN TEXAS_CO - ,BASE
05/14/2018 05:00:00,05/14/2018 10:00:00,MRTPANHUTMRT,FG,5590,BINDING,-8.2950,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/14/2018 05:00:00,05/14/2018 10:00:00,TEMP23_22895,FG,22895,BINDING,-0.4274,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/14/2018 05:00:00,05/14/2018 10:00:00,TMP109_22593,FG,22593,BINDING,-169.6480,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/14/2018 05:00:00,05/14/2018 10:00:00,TMP250_23543,FG,23543,BINDING,-166.5826,LN MILANTP - CLEARWT4,LN BENT - WICH 345 WR
05/14/2018 05:00:00,05/14/2018 10:00:00,VINHAYPOSKNO,FG,5562,BINDING,-36.8865,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/14/2018 05:00:00,05/14/2018 10:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,1.3206,LN TEXAS_CO - ,BASE
05/14/2018 06:00:00,05/14/2018 11:00:00,MRTPANHUTMRT,FG,5590,BINDING,-9.9008,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/14/2018 06:00:00,05/14/2018 11:00:00,TEMP23_22895,FG,22895,BINDING,-1.1747,LN NSES - RAM452,LN BLACKBRY - JASPER7 345 AECI
05/14/2018 06:00:00,05/14/2018 11:00:00,TMP109_22593,FG,22593,BINDING,-111.5467,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/14/2018 06:00:00,05/14/2018 11:00:00,VINHAYPOSKNO,FG,5562,BINDING,-4.5216,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/14/2018 06:00:00,05/14/2018 11:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.4176,LN TEXAS_CO - ,BASE
05/14/2018 07:00:00,05/14/2018 12:00:00,TAHH59MUSFTS,FG,5223,BINDING,-84.3091,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/14/2018 07:00:00,05/14/2018 12:00:00,TEMP89_22229,FG,22229,BINDING,-9.6690,LN GRACMONT - ANADARKO,LN WASHIT1 - SW_STA 138 CSWS
05/14/2018 07:00:00,05/14/2018 12:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.3535,LN TEXAS_CO - ,BASE
05/14/2018 08:00:00,05/14/2018 13:00:00,NEORIVNEOBLC,FG,5375,BINDING,-31.4186,LN NSES - RAM452,LN BLACKBRY - N345 345 WR
05/14/2018 08:00:00,05/14/2018 13:00:00,TAHH59MUSFTS,FG,5223,BINDING,-106.4734,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
