Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/10/2018 01:00:00,05/10/2018 06:00:00,TEMP13_21818,FG,21818,BINDING,-15.6121,LN PANTEX_S - HIGHL_TP,LN MARTIN - HUTCH 115 SPS
05/10/2018 01:00:00,05/10/2018 06:00:00,TEMP96_22409,FG,22409,BINDING,-1.5409,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/10/2018 01:00:00,05/10/2018 06:00:00,TMP109_22593,FG,22593,BINDING,-182.2942,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/10/2018 01:00:00,05/10/2018 06:00:00,VINHAYPOSKNO,FG,5562,BINDING,-30.7695,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 01:00:00,05/10/2018 06:00:00,PALO,MA,,BINDING,2.5469,XFMR PALO_DUR - PALO_DUR,BASE
05/10/2018 01:00:00,05/10/2018 06:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-2.7243,LN DRFTSND4 - SANTAFE4,BASE
05/10/2018 01:00:00,05/10/2018 06:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-8.5522,LN SLCKHILS - WASHIT1,BASE
05/10/2018 01:00:00,05/10/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.6463,LN TEXAS_CO - ,BASE
05/10/2018 02:00:00,05/10/2018 07:00:00,MRTPANHUTMRT,FG,5590,BINDING,-11.8060,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/10/2018 02:00:00,05/10/2018 07:00:00,TEMP13_21818,FG,21818,BINDING,-2.1386,LN PANTEX_S - HIGHL_TP,LN MARTIN - HUTCH 115 SPS
05/10/2018 02:00:00,05/10/2018 07:00:00,TMP109_22593,FG,22593,BINDING,-197.3547,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/10/2018 02:00:00,05/10/2018 07:00:00,VINHAYPOSKNO,FG,5562,BINDING,-22.7115,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 02:00:00,05/10/2018 07:00:00,PALO,MA,,BINDING,0.7143,XFMR PALO_DUR - PALO_DUR,BASE
05/10/2018 02:00:00,05/10/2018 07:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-5.8309,LN DRFTSND4 - SANTAFE4,BASE
05/10/2018 02:00:00,05/10/2018 07:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-6.5161,LN SLCKHILS - WASHIT1,BASE
05/10/2018 02:00:00,05/10/2018 07:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.8139,LN TEXAS_CO - ,BASE
05/10/2018 03:00:00,05/10/2018 08:00:00,MRTPANHUTMRT,FG,5590,BINDING,-2.8839,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/10/2018 03:00:00,05/10/2018 08:00:00,TMP109_22593,FG,22593,BINDING,-111.3851,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/10/2018 03:00:00,05/10/2018 08:00:00,VINHAYPOSKNO,FG,5562,BINDING,-46.2646,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 03:00:00,05/10/2018 08:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-5.4058,LN DRFTSND4 - SANTAFE4,BASE
05/10/2018 03:00:00,05/10/2018 08:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0561,LN TEXAS_CO - ,BASE
05/10/2018 04:00:00,05/10/2018 09:00:00,MRTPANHUTMRT,FG,5590,BINDING,-5.2481,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/10/2018 04:00:00,05/10/2018 09:00:00,TMP109_22593,FG,22593,BINDING,-97.1661,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/10/2018 04:00:00,05/10/2018 09:00:00,VINHAYPOSKNO,FG,5562,BINDING,-43.1873,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 04:00:00,05/10/2018 09:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-3.7846,LN DRFTSND4 - SANTAFE4,BASE
05/10/2018 04:00:00,05/10/2018 09:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,-0.0148,LN TEXAS_CO - ,BASE
05/10/2018 05:00:00,05/10/2018 10:00:00,MRTPANHUTMRT,FG,5590,BINDING,-10.3685,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/10/2018 05:00:00,05/10/2018 10:00:00,TMP109_22593,FG,22593,BINDING,-66.1908,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/10/2018 05:00:00,05/10/2018 10:00:00,VINHAYPOSKNO,FG,5562,BINDING,-35.9818,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 05:00:00,05/10/2018 10:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.0690,LN TEXAS_CO - ,BASE
05/10/2018 06:00:00,05/10/2018 11:00:00,VINHAYPOSKNO,FG,5562,BINDING,-28.3044,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 06:00:00,05/10/2018 11:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-7.9081,LN DRFTSND4 - SANTAFE4,BASE
05/10/2018 06:00:00,05/10/2018 11:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.3413,LN TEXAS_CO - ,BASE
05/10/2018 07:00:00,05/10/2018 12:00:00,VINHAYPOSKNO,FG,5562,BINDING,-28.8251,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 07:00:00,05/10/2018 12:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.3476,LN TEXAS_CO - ,BASE
05/10/2018 08:00:00,05/10/2018 13:00:00,VINHAYPOSKNO,FG,5562,BINDING,-17.9695,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/10/2018 08:00:00,05/10/2018 13:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,0.2167,LN TEXAS_CO - ,BASE
