Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/01/2018 01:00:00,05/01/2018 06:00:00,MRTPANHUTMRT,FG,5590,BINDING,-13.8140,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/01/2018 01:00:00,05/01/2018 06:00:00,NEORIVNEOBLC,FG,5375,BINDING,-58.7846,LN NSES - RAM452,LN BLACKBRY - N345 345 WR
05/01/2018 01:00:00,05/01/2018 06:00:00,TAHH59MUSFTS,FG,5223,BINDING,-416.6111,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/01/2018 01:00:00,05/01/2018 06:00:00,TEMP05_23732,FG,23732,BINDING,-18.1072,LN WICH - BENT,LN HUNTERS7 - WDRNG1 345 OKGE
05/01/2018 01:00:00,05/01/2018 06:00:00,TEMP13_21818,FG,21818,BINDING,-9.8794,LN PANTEX_S - HIGHL_TP,LN MARTIN - HUTCH 115 SPS
05/01/2018 01:00:00,05/01/2018 06:00:00,TEMP61_22964,FG,22964,BINDING,-55.0439,LN WR_SMKHL - SUMM,LN CLARKCO-THISTLE7 A 345 SECI
05/01/2018 01:00:00,05/01/2018 06:00:00,TEMP89_22229,FG,22229,BINDING,-31.8920,LN GRACMONT - ANADARKO,LN WASHIT1 - SW_STA 138 CSWS
05/01/2018 01:00:00,05/01/2018 06:00:00,TEMP96_22409,FG,22409,BINDING,-4.3191,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/01/2018 01:00:00,05/01/2018 06:00:00,TMP103_22587,FG,22587,BINDING,-72.8748,LN KILDR - WHEGL,LN HUNTERS7 - WDRNG1 345 OKGE
05/01/2018 01:00:00,05/01/2018 06:00:00,TMP109_22593,FG,22593,BINDING,-78.0049,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/01/2018 01:00:00,05/01/2018 06:00:00,TMP131_22673,FG,22673,BINDING,-226.6571,LN LYN_REC1 - TERRY_CO,LN AMOCO_SW - SUNDOWN2 230 SPS
05/01/2018 01:00:00,05/01/2018 06:00:00,TMP204_21785,FG,21785,BINDING,-31.5436,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
05/01/2018 01:00:00,05/01/2018 06:00:00,VINHAYPOSKNO,FG,5562,BINDING,-88.5732,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/01/2018 01:00:00,05/01/2018 06:00:00,40621_LN@CIRV<CON3460>,MA,,BINDING,29.3263,LN CIRV - KIHI,LN SIBLEY - KETCHEM 345 MPS
05/01/2018 01:00:00,05/01/2018 06:00:00,CAPROCK,MA,,BINDING,26.1963,XFMR CAPROCK - CAPROCK,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,CAYLEWISDO16_11_LN@CAYLER<CON2796>,MA,,BINDING,-47.0345,LN CAYLER - WISDOMCB,LN DICY -  LAKEFLD 161 ALTW
05/01/2018 01:00:00,05/01/2018 06:00:00,CLEARW_MILAN_1A_LN@MILANTP<CON3462>,MA,,BINDING,-22.3495,LN MILANTP - CLEARWT4,LN THISTLE7 - FLAT_RDG 138 SECI
05/01/2018 01:00:00,05/01/2018 06:00:00,CLEARW_MILAN_1A_LN@MILANTP<CON3466>,MA,,BINDING,-145.5270,LN MILANTP - CLEARWT4,LN WICH - THISTLE7 345 SECI
05/01/2018 01:00:00,05/01/2018 06:00:00,CRNGIHOBAR13_1A_LN@CRNGIE_S<CON1916>,MA,,BINDING,11.2672,LN CRNGIE_S - HOBART_J,LN CHISHOLM - GRACMONT 345 CSWS
05/01/2018 01:00:00,05/01/2018 06:00:00,MOORE_CO,MA,,BINDING,5.5040,XFMR MOORE_CO - MOORE_CO,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,PALO,MA,,BINDING,25.0992,XFMR PALO_DUR - PALO_DUR,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,SPINSPURXF1,MA,,BINDING,-3.0007,XFMR SPINSPUR - SPINSPUR,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,WISDOSPENC16_11_LN@WISDOMCB<CON4925>,MA,,BINDING,-13.1998,LN WISDOMCB - SPENCER,LN CLIPPER - LIL_SIX 161 MEC
05/01/2018 01:00:00,05/01/2018 06:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-10.0008,LN DRFTSND4 - SANTAFE4,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,MARTIN_MART_MAJE_A_LN,MCE,,BINDING,1.0024,LN MAJESTIC - MARTIN,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-10.8539,LN SLCKHILS - WASHIT1,BASE
05/01/2018 01:00:00,05/01/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,12.6259,LN TEXAS_CO - ,BASE
05/01/2018 02:00:00,05/01/2018 07:00:00,MRTPANHUTMRT,FG,5590,BINDING,-13.8629,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/01/2018 02:00:00,05/01/2018 07:00:00,NEORIVNEOBLC,FG,5375,BINDING,-71.1526,LN NSES - RAM452,LN BLACKBRY - N345 345 WR
05/01/2018 02:00:00,05/01/2018 07:00:00,TAHH59MUSFTS,FG,5223,BINDING,-442.7615,LN TAHLQH5 - HWY59,LN MUSKOGEE - FTSMTH 345 OKGE
05/01/2018 02:00:00,05/01/2018 07:00:00,TEMP13_21818,FG,21818,BINDING,-9.7616,LN PANTEX_S - HIGHL_TP,LN MARTIN - HUTCH 115 SPS
05/01/2018 02:00:00,05/01/2018 07:00:00,TEMP61_22964,FG,22964,BINDING,-52.8443,LN WR_SMKHL - SUMM,LN CLARKCO-THISTLE7 A 345 SECI
05/01/2018 02:00:00,05/01/2018 07:00:00,TEMP89_22229,FG,22229,BINDING,-4.4456,LN GRACMONT - ANADARKO,LN WASHIT1 - SW_STA 138 CSWS
05/01/2018 02:00:00,05/01/2018 07:00:00,TMP103_22587,FG,22587,BINDING,-129.2034,LN KILDR - WHEGL,LN HUNTERS7 - WDRNG1 345 OKGE
05/01/2018 02:00:00,05/01/2018 07:00:00,TMP109_22593,FG,22593,BINDING,-56.2298,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/01/2018 02:00:00,05/01/2018 07:00:00,TMP131_22673,FG,22673,BINDING,-208.0886,LN LYN_REC1 - TERRY_CO,LN AMOCO_SW - SUNDOWN2 230 SPS
05/01/2018 02:00:00,05/01/2018 07:00:00,TMP204_21785,FG,21785,BINDING,-16.6157,LN MARSHAL3 - SMIT,LN STEELCTY - HARBINE 115 NPPD
