Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility
05/12/2018 01:00:00,05/12/2018 06:00:00,MRTPANHUTMRT,FG,5590,BINDING,-12.1521,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/12/2018 01:00:00,05/12/2018 06:00:00,TEMP96_22409,FG,22409,BINDING,-110.4081,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/12/2018 01:00:00,05/12/2018 06:00:00,TMP103_22587,FG,22587,BINDING,-31.5856,LN KILDR - WHEGL,LN HUNTERS7 - WDRNG1 345 OKGE
05/12/2018 01:00:00,05/12/2018 06:00:00,TMP109_22593,FG,22593,BINDING,-76.9756,LN TUPLOTP4 - TUPELO2,LN SEMINOLE - PITTSB9 345 CSWS
05/12/2018 01:00:00,05/12/2018 06:00:00,VINHAYPOSKNO,FG,5562,BINDING,-95.8007,LN VINETAP3 - NHAYS,LN POSTROCK - KNOLL1 230 WR
05/12/2018 01:00:00,05/12/2018 06:00:00,CLEARW_MILAN_1A_LN@MILANTP<CON3467>,MA,,BINDING,-252.4480,LN MILANTP - CLEARWT4,LN WICH-THISTLE7 A 345 WR
05/12/2018 01:00:00,05/12/2018 06:00:00,DRFTSND4_DRIFTSAND_LINE_A_LN,MCE,,BINDING,-4.7588,LN DRFTSND4 - SANTAFE4,BASE
05/12/2018 01:00:00,05/12/2018 06:00:00,SLCKHILS_WASHIT_SLCK_A_LN,MCE,,BINDING,-10.9159,LN SLCKHILS - WASHIT1,BASE
05/12/2018 01:00:00,05/12/2018 06:00:00,TEXAS_CO_TXPS_TXCO_PHSHFT_PS,MCE,,BINDING,2.8088,LN TEXAS_CO - ,BASE
05/12/2018 02:00:00,05/12/2018 07:00:00,MRTPANHUTMRT,FG,5590,BINDING,-12.8759,LN MARTIN - PANTEX_N,LN MARTIN - HUTCH 115 SPS
05/12/2018 02:00:00,05/12/2018 07:00:00,TEMP96_22409,FG,22409,BINDING,-98.2642,LN HUGOPP4 - VALLIANT,LN HUGOPP4 - VALLIANT 345 CSWS
05/12/2018 02:00:00,05/12/2018 07:00:00,TMP103_22587,FG,22587,BINDING,-24.8318,LN KILDR - WHEGL,LN HUNTERS7 - WDRNG1 345 OKGE
